関東特殊製鋼,"関東特殊製鋼株式会社（かんとうとくしゅせいこう、Kanto Special Steel Works, Ltd.）は、神奈川県藤沢市辻堂に本社を置いていた、元特殊鋼メーカー。略称はカントク。"
関包スチール,関包スチール株式会社（かんぽうスチール、英文社名 KANPOH Steel Corporation）は、大阪市に本社を置く鉄鋼メーカーである。
丸一鋼管,丸一鋼管株式会社（まるいちこうかん、英商号：MARUICHI STEEL TUBE LTD.）は大阪市西区北堀江に本社を置く鋼管の製造・販売メーカーである。
吉川工業,吉川工業株式会社（よしかわこうぎょう）は、福岡県北九州市八幡東区に本社を置く鉄鋼、エレクトロニクス・精密機器、エンジニアリング機器関連メーカーである。なお、「吉川工業」という名称の企業は他にも全国に幾つか存在するが、それらとは全く別の企業である。
共英製鋼,共英製鋼株式会社（きょうえいせいこう、英文社名 KYOEI STEEL LTD.）は、日本の電気炉を用いて鉄鋼製品を製造するメーカー。電気炉メーカーあるいは略して電炉メーカーと呼ばれる。主に鉄スクラップを資源として利用し、鉄筋棒鋼を主とした建設用鋼材を作り出す資源循環の一翼を担っている。
協材興業,協材興業株式会社（きょうざいこうぎょう、英文名：Kyozaikohgyo Co.LTD.）は、日本国内発生スケールの約70%以上を取扱う国内最大手のスケールリサイクル企業である。
栗本鐵工所,"株式会社栗本鐵工所（くりもとてっこうしょ、英文社名 Kurimoto, Ltd.）は、日本の鋳鉄管メーカーである。鋳鉄管はクボタに次いで業界2位。上水道・下水道など公共事業に依存している。建材事業部においては国内トップクラスの空調・設備資材の製造販売を行っている。"
現代ハイスコ,現代ハイスコ（ヒュンダイハイスコ、朝鮮語：、英語：Hyundai Hysco）は、大韓民国（韓国）の鉄鋼メーカーである。韓国の自動車メーカー・現代自動車の傘下で、現代-起亜自動車グループの一員。1975年設立。当初は京一工業という社名であったが、1980年に現代鋼管に社名を変更した。現在の社名となったのは2001年からである。自動車や家電、建築物などに使用される冷延鋼板およびめっき鋼板と、配管用や構造用などの鋼管を製造する。製造拠点は、本社所在地でもある鋼管工場の蔚山工場（蔚山広域市）、鋼板工場の順天工場（全羅南道順天市）および唐津工場（忠清南道唐津市）の3か所を持つ。日本の鉄鋼メーカー・JFEスチールが株式の約13%を保有している。同社とは2000年から、冷延鋼板の素材である熱延鋼板の供給と、冷延鋼板に関する技術供与で提携している。
高砂鐵工,高砂鐵工株式会社（たかさごてっこう、英文社名 TAKASAGO TEKKO K.K.）は、東京都を拠点とする鋼板圧延業者である。新日鐵住金のグループ企業。
合同製鐵,"合同製鐵株式会社（ごうどうせいてつ、英文社名：GODO STEEL, Ltd.）は大阪市を本拠とする鉄鋼メーカー（電気炉メーカー）である。かつては銑鋼一貫製鉄所を持つ高炉メーカーであったが、1994年（平成6年）に撤退した。新日鐵住金のグループ企業。略称は合鐵（ごうてつ）。"
三菱製鋼,三菱製鋼株式会社（みつびしせいこう）は、三菱グループの鉄鋼メーカーで、東京都中央区に本社をおいている。
山陽特殊製鋼,"山陽特殊製鋼株式会社（さんようとくしゅせいこう、英: Sanyo Special Steel Co., Ltd.）は、兵庫県姫路市を拠点とする鉄鋼メーカー（特殊鋼メーカー）。新日鐵住金グループの企業である。"
住友金属工業,"住友金属工業株式会社（すみともきんぞくこうぎょう、英: Sumitomo Metal Industries, Ltd.）は、かつて存在した日本の大手鉄鋼・鉄道部品メーカー（高炉メーカー）であり、現存する鉄鋼メーカーのなかで雲伯鉄鋼合資会社（現：日立金属安来工場）に次ぐ歴史を誇っている。関西経済界の重鎮（関西財界御三家）であり、住友グループの要として三井住友銀行、住友化学と共に「住友グループ御三家」と称された。2012年（平成24年）10月1日に、旧新日本製鐵（新日鉄）と合併し新日鐵住金が発足、同時に住友グループからは離脱した。"
新家工業,新家工業株式会社（あらやこうぎょう）は、鋼管や自転車リムなどを製造する企業。みどり会（UFJグループ）の会員企業である。
新関西製鐵,新関西製鐵株式会社（しんかんさいせいてつ）は、平鋼・構造用丸棒・角鋼・異形鋼メーカー。
新日本製鐵,新日本製鐵株式會社（しんにっぽんせいてつ、英: NIPPON STEEL CORPORATION）は、日本の大手鉄鋼メーカー（高炉メーカー）である新日鐵住金株式会社の旧商号。2012年（平成24年）10月1日、同じく日本の鉄鋼メーカーである住友金属工業（住金）と合併し、「新日鐵住金」に社名変更した。統合前、2010年の粗鋼生産量において日本国内では首位、世界では第5位の規模を持っていた。1970年（昭和45年）に、日本製鐵（日鉄）を前身とする八幡製鐵・富士製鐵が合併して発足した。この時点で、日立製作所を抜いて売上日本最大のメーカーとなり、1980年代にトヨタ自動車に抜かれるまで、長年その位置を占め続けた。略称は、「新日鉄」（あるいは旧字体の「新日鐵」）や英文社名に由来する「NSC」など。
新日本電工,新日本電工株式会社（しんにっぽんでんこう）は、フェロアロイ（合金鉄）の生産を主な事業とする日本の鉄鋼メーカーである。
新日鐵住金,新日鐡住金株式会社（しんにってつすみきん、NIPPON STEEL & SUMITOMO METAL CORPORATION）は、日本の大手鉄鋼メーカー（高炉メーカー）である。粗鋼生産量において日本国内最大手、世界ではアルセロール・ミッタル（ルクセンブルク）に次ぐ第2位の規模を持つ。
新日鐵住金ステンレス,新日鐵住金ステンレス株式会社（しんにってつすみきんステンレス、英文社名 Nippon Steel & Sumikin Stainless Steel Corporation）は、日本のステンレス鋼メーカーである。旧新日本製鐵・旧住友金属工業両社のステンレス鋼部門が統合し2003年（平成15年）に設立された。略称は「NSSC」。
新報国製鉄,新報国製鉄（しんほうこくせいてつ）は埼玉県川越市にある製鉄会社。
