AIRDO,株式会社AIRDO（エアドゥ）は、北海道札幌市中央区に本社を置く日本の航空会社である。1996年11月14日に北海道国際航空株式会社（ほっかいどうこくさいこうくう）として設立された。2012年10月1日に、それまで愛称・通称として用いていたAIR DO（エア・ドゥ）を社名としている。「DO」は北海道の道（どう）と英語の（助）動詞do（ドゥ）を掛けたもの。以下、本文中ではICAO航空会社コードである「ADO」と表記する。1998年12月20日より、新千歳空港 - 東京国際空港（羽田空港）間で就航を開始した。就航当初は後述の経営不振が続き、2002年6月に東京地方裁判所に民事再生法適用を申請し、全日本空輸（ANA）の支援を受けることとなったが、2005年3月には再建を完了している。かつての社名には「国際」という語が入っていたが、AIR DOに名称を変更した後の2014年にチャーター便として初の国際線運航を行ったのみで、旧社名時代に国際線を運航したことはない。
ANA&JPエクスプレス,"株式会社ANA & JP エクスプレス（エーエヌエー・アンド・ジェイピーエクスプレス・欧文：ANA &JP Express Co., Ltd.）とは、全日本空輸 (ANA) の航空貨物運航を行っていた子会社。2010年7月1日に、同じく全日本空輸の子会社であるエアージャパンに吸収合併される形で消滅した。"
ANAウイングス,"ANAウイングス株式会社（エーエヌエーウイングス、ANA WINGS CO., LTD.）は、ANAホールディングス (ANA) グループの航空会社である。ANAグループの小型機の運航を担当している。現在、北は北海道、南は沖縄まで日本各地の路線、ANA全体の約3割を運航している。今後はMRJの導入やB737-500の後継機とされるA320neo、A321neoの導入も期待されている。また近い将来、国際線運航も開始予定。2010年10月1日、全日本空輸の子会社であったエアーニッポンネットワークが、エアーネクスト、エアーセントラルと統合し発足した。"
ANAホールディングス,ANAホールディングス株式会社（エイエヌエイホールディングス、英：ANA HOLDINGS INC.）は、東京都港区に所在する日本の株式会社で、航空輸送事業を主力とするANAグループを統括する持株会社である。
DHL,DHL（ディーエイチエル 独：デーハーエル）は、航空機を主体とした国際宅配便、運輸、ロジスティクスサービスを扱うドイツの国際輸送物流会社。本社、ドイツ・ボン。事業展開国・地域数228。ドイツ国内および国外の宅配運送、ロジスティクスサービス等を複数社体制で提供する世界最大の国際輸送物流会社で、現在はドイツポストの傘下となっている。ドイツポストがドイツ国内郵便事業を担当し、DHLが国際宅配・輸送・ロジスティクス事業を担当する。日本では、DHLジャパン株式会社、DHLグローバルフォワーディングジャパン株式会社、DHLサプライチェーン株式会社の3社がある。
JALウェイズ,"株式会社ジャルウェイズ（英称:JALways Co., Ltd.）とは、かつて存在した日本の航空会社である。日本航空 (JAL) グループの構成会社であった。前身はジャパンエアチャーター。"
JALエクスプレス,"株式会社ジャルエクスプレス（JAL Express Co., Ltd.）は、かつて存在した日本の航空会社で、日本航空の連結子会社であった。"
アイベックスエアラインズ,"アイベックスエアラインズ株式会社（IBEXエアラインズとも表記、英称 : IBEX Airlines Co., Ltd.）は、日本のリージョナル航空会社である。社名は、ヨーロッパに生息する野生動物アイベックスを由来とするもの。この名称は、親会社の日本デジタル研究所が販売している会計システムのブランド「JDL IBEX」にも採用されている。"
アエロフロート・ロシア航空,アエロフロート・ロシア航空（ロシア語 Аэрофлот ― Российские авиалинии;  英語 Aeroflot Russian Airlines）は、ロシア連邦の民間航空会社であり、東ヨーロッパで1位の規模である。ロシア語でアエロ（Аэро）とは「航空」、フロート（Флот）とは「艦隊」を示す言葉である。モスクワのシェレメーチエヴォ国際空港を拠点とし、世界95都市に就航している。
アジア航測,アジア航測株式会社（アジアこうそく）は、東京都新宿区に本店を、神奈川県川崎市麻生区に本社を置く国内大手の航空測量、建設コンサルタント会社。
エアアジア,エアアジア（マレー語: AirAsia Berhad）はマレーシアの格安航空会社。
エアアジア・ジャパン,エアアジア・ジャパン株式会社(AirAsia Japan)は、2014年に設立された日本の格安航空会社である。2011年から2013年にかけて同社名であった航空会社（バニラ・エア）とは、全く別の法人である。
エアージャパン,"株式会社エアージャパン（Air Japan, Co.,Ltd.）は、全日本空輸 (ANA) 系列の航空運送事業者である。旅客便（国際線）と貨物便を運航している。設立当初の名称はワールドエアネットワーク株式会社 (WAC : World Air Network) 、コールサインはWING ACE（ウイングエース）で、国際チャーター便を運航する会社であった。"
エアーセントラル,"エアーセントラル株式会社（英称: Air CENTRAL Co., Ltd.）は、かつて存在した全日本空輸（ANA）グループの航空会社。旧称中日本エアラインサービス。中部国際空港をベースに、運送の共同引受にてANA便名でターボプロップ機を運航していた。貨物搭載は実施していなかった。2010年10月、同じANAの子会社であるエアーニッポンネットワークに、エアーネクストとともに合併されANAウイングスに再編された。"
エアーニッポン,"エアーニッポン株式会社（英称: Air Nippon Co., Ltd.）は、かつて存在した日本の航空会社である。全日本空輸（ANA、全日空。法人としては現ANAホールディングス）の連結子会社であった。"
エアーニッポンネットワーク,株式会社エアーニッポンネットワーク（英称：Air Nippon Network）は、かつて存在した全日本空輸（ANA）系列の日本の航空会社。通称はA-net。ターボプロップ機を運航していた。現在のANAウイングスの直接の前身である。
エアーネクスト,エアーネクスト株式会社（英称: Air Next） は、かつて存在した全日本空輸（ANA）グループの日本の航空会社である。2005年6月21日にANA316便（福岡→小松）で就航開始。コストを引き下げて効率的な運航をすることを目的にエアーニッポン（ANK）により設立された。エアーニッポンが使用していたナローボディジェット旅客機・ボーイング737-500を運航していた。ANAグループの九州・沖縄関連路線を中心に、「運送の共同引受」によりANAの便名で国内路線を運航していた。2010年10月、同じANAの子会社であるエアーニッポンネットワークに、エアーセントラルとともに合併され、ANAウイングスに再編された。
エアー北海道,エアー北海道株式会社（エアーほっかいどう、略称 ADK）は、かつて存在した全日本空輸 (ANA) グループの航空会社である。1994年にエアーニッポン (ANK) と北海道の共同出資で設立され、北海道内の離島3路線をANKから継承した。稚内空港と利尻空港、礼文空港を結ぶ路線は、国や道、地元3町の補助を受け、着陸料減免も受けていたが、平均搭乗率30%前後、島民利用者数は1便平均1人台で、路線の維持が極めて困難な状態で、2003年3月31日をもって廃止された。函館空港では奥尻空港便を夏期3往復、冬期2往復運航するほか、函館市内の夜間遊覧飛行も実施していた。こちらも採算にあわず、奥尻空港の滑走路延長にあわせて機材大型化を検討していたが、2004年度決算において前年の稚内線撤退による運賃と補助金収入がなくなった影響により、4千万円余りの債務超過に陥っていたことが発表された。このためエアーニッポンからの借入金返済猶予の上、2006年3月31日をもって廃止され同社は解散。同年7月7日に清算が結了し、12年の歴史に幕を下ろした。函館 - 奥尻線は、同様に北海道が出資する第三セクターで当時日本航空 (JAL) グループだった北海道エアシステム (HAC) が引き継いだ。
エクセル航空,エクセル航空（エクセルこうくう）は、日本の航空会社。千葉県浦安市の浦安ヘリポートを拠点にヘリコプターによる遊覧飛行、チャーター輸送を中心とした航空輸送事業を展開している。
エス・ジー・シー佐賀航空,"エス・ジー・シー佐賀航空株式会社（エス・ジー・シーさがこうくう、S・G・C SAGA AVIATION CO.,LTD.）は、佐賀県佐賀市の佐賀空港を本拠地として、小型航空機やヘリコプターを運航し、遊覧飛行、操縦訓練、航空写真撮影、広告宣伝、農薬散布などのほか、航空機体や燃料の販売を行っている会社である。ICAOの航空会社コードはSGCでそのまま社名にも使っている。"
オールニッポンヘリコプター,"オールニッポンヘリコプター株式会社（All Nippon Helicopter Co., Ltd. :ANH）は、ヘリコプターを運航する名古屋鉄道グループの航空会社である。NHKが使用する取材用ヘリコプターの所有・運航及び維持管理のみを行っている。"
オリエンタルエアブリッジ,オリエンタルエアブリッジ株式会社（略称 : ORC）は、長崎空港を拠点とする日本の航空会社である。
オレンジカーゴ,オレンジカーゴ株式会社は、トヨタ自動車の戦後の再建を担った石田退三の孫が創業した小型飛行機での貨物運送を専門とする日本の航空会社。小型プロペラ機による貨物運送を専門として新たな需要を狙って運航を開始したが、約半年で運航を停止した。機長の不足による路線の縮小により貨物需要が当初予測を下回り採算性が悪化、資金繰りがつかなくなったためと思われる。2004年（平成16年）4月9日に破産宣告を受けた。
キャセイパシフィック航空,"キャセイパシフィック航空（キャセイパシフィックこうくう、國泰航空、Cathay Pacific Airways, HKSE：0293）は、香港を拠点とする航空会社。香港のフラッグ・キャリアである。英スカイトラックス社による航空会社の格付けで、実質最高評価の「ザ・ワールド・ファイブ・スター・エアラインズ（The World's 5-Star Airlines）」の認定を得ている。"
ギャラクシーエアラインズ,"ギャラクシーエアラインズ株式会社 (GALAXY AIRLINES Co.,Ltd.) は、SGホールディングス（佐川急便グループ）を親会社とする貨物航空会社。現在は清算済み。"
ジェイエア,株式会社ジェイエア（J-AIR）は、日本航空（JAL）グループの航空会社である。大阪国際空港を中心に日本全国に路線を展開している。全便、日本航空 (JAL) 便として運航される。
ジェットスター・ジャパン,"ジェットスター・ジャパン株式会社（Jetstar Japan Co., Ltd）は、日本の格安航空会社である。"
ジャネット_(航空会社),株式会社ジャネットは、山梨県甲斐市に本社を置く日本の航空会社である。ヘリコプターによる資材運送、チャーター、報道取材協力、遊覧飛行、防災ヘリの運航受託などを行っている。
スカイマーク,"スカイマーク株式会社（Skymark Airlines Inc.）は、日本の航空会社。2006年10月1日より、旧社名の「スカイマークエアラインズ株式会社」（Skymark Airlines Co., Ltd.）から、略称として定着していた「スカイマーク」に社名を変更した。なお、英文表記では引き続き ""Airlines"" が使われる。"
スターフライヤー,株式会社スターフライヤー（英: Star Flyer Inc.）は、福岡県北九州市小倉南区の北九州空港に本拠を置く、日本の航空会社である。
セントラルヘリコプターサービス,"セントラルヘリコプターサービス株式会社（Central Helicopter Service, Ltd. ）は、ヘリコプターによる運送事業、およびヘリコプターの整備、操縦士養成等の事業を行う朝日航洋傘下の会社である。"
